Group,ID,List,Target,ACC,RT,logRT,Critical_Filler,Word_Nonword,Relation_type,Branching
L1,L1_03,C,university,1,629,6.4441,Filler,Word,Semantic,NA
L1,L1_03,C,veclaration,1,1158,7.0544,Filler,Nonword,Unrelated,NA
L1,L1_03,C,undeniable,1,849,6.7441,Critical,Word,Unrelated,Right
L1,L1_03,C,reobtainable,1,818,6.7069,Critical,Word,Constituent,Left
L1,L1_03,C,difficalty,1,1105,7.0076,Filler,Nonword,Unrelated,NA
L1,L1_03,C,pastionless,1,1392,7.2385,Filler,Nonword,Unrelated,NA
L1,L1_03,C,unreadable,1,653,6.4816,Critical,Word,Unrelated,Right
L1,L1_03,C,termination,1,677,6.5177,Filler,Word,Semantic,NA
L1,L1_03,C,unthankful,1,610,6.4135,Critical,Word,Unrelated,Right
L1,L1_03,C,intentional,1,636,6.4552,Filler,Word,Semantic,NA
L1,L1_03,C,unskillful,1,662,6.4953,Critical,Word,Constituent,Right
L1,L1_03,C,literary,1,808,6.6946,Filler,Word,Phonological,NA
L1,L1_03,C,tegislature,1,807,6.6933,Filler,Nonword,Unrelated,NA
L1,L1_05,E,elastecity,1,912,6.8156,Filler,Nonword,Phonological,NA
L1,L1_05,E,unthankful,1,679,6.5206,Critical,Word,Constituent,Right
L1,L1_05,E,studious,1,951,6.8575,Filler,Word,Phonological,NA
L1,L1_05,E,darenthood,1,853,6.7488,Filler,Nonword,Phonological,NA
L1,L1_05,E,gresidential,1,774,6.6516,Filler,Nonword,Unrelated,NA
L1,L1_05,E,resealable,1,754,6.6254,Critical,Word,Constituent,Left
L1,L1_05,E,gategorical,1,924,6.8287,Filler,Nonword,Unrelated,NA
L1,L1_05,E,lengthwise,0,717,6.5751,Filler,Nonword,Phonological,NA
L1,L1_05,E,candidacy,1,1146,7.0440,Filler,Word,Phonological,NA
L1,L1_05,E,innovakive,1,759,6.6320,Filler,Nonword,Unrelated,NA
L1,L1_05,E,entertainer,1,657,6.4877,Filler,Word,Phonological,NA
L1,L1_05,E,emuivalence,1,738,6.6039,Filler,Nonword,Unrelated,NA
L1,L1_05,E,haturalism,1,715,6.5723,Filler,Nonword,Unrelated,NA
L1,L1_05,E,reclosable,0,924,6.8287,Critical,Word,Unrelated,Left
L1,L1_05,E,frosperous,1,853,6.7488,Filler,Nonword,Phonological,NA
